,file_path,sentence,section,0,0_span,weight_0,1,1_span,weight_1
11104,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Broto, V.C., E. Boyd and J. Ensor, 2015: Participatory urban planning for climate change adaptation in coastal cities: lessons from a pilot experience in Maputo, Mozambique.",HTML,Mozambique,"(166, 176)",1,adaptation,"(93, 103)",1
11150,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Broto, V.C., E. Boyd and J. Ensor, 2015: Participatory urban planning for climate change adaptation in coastal cities: lessons from a pilot experience in Maputo, Mozambique.",HTML,Mozambique,"(166, 176)",1,adaptation,"(93, 103)",1
11255,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Lund, D.H., 2018: Governance innovations for climate change adaptation in urban Denmark.",HTML,Denmark,"(84, 91)",1,adaptation,"(64, 74)",1
11370,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Sovacool, B.K., 2018: Bamboo beating bandits: Conflict, inequality, and vulnerability in the political ecology of climate change adaptation in Bangladesh.",HTML,Bangladesh,"(147, 157)",1,adaptation,"(133, 143)",1
11379,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Broto, V.C., E. Boyd and J. Ensor, 2015: Participatory urban planning for climate change adaptation in coastal cities: lessons from a pilot experience in Maputo, Mozambique.",HTML,Mozambique,"(166, 176)",1,adaptation,"(93, 103)",1
11388,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Musa, Z.N., I. Popescu and A. Mynett, 2016: Assessing the sustainability of local resilience practices against sea level rise impacts on the lower Niger delta.",HTML,Niger,"(151, 156)",1,sea level rise,"(115, 129)",1
11491,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,Insights in climate adaptation planning from the Netherlands.,HTML,Netherlands,"(49, 60)",1,adaptation,"(20, 30)",1
11549,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Pasquini, L., R. Cowling and G. Ziervogel, 2013: Facing the heat: Barriers to mainstreaming climate change adaptation in local government in the Western Cape Province, South Africa.",HTML,South Africa,"(172, 184)",1,adaptation,"(111, 121)",1
11592,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,An analysis of climate change adaptation governance in Norway.,HTML,Norway,"(55, 61)",1,adaptation,"(30, 40)",1
11642,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Chouinard, O., S. Weissenberger and D. Lane, 2015: L’adaptation au changement climatique en zone côtière selon l’approche communautaire: études de cas de projets de recherche-action participative au Nouveau-Brunswick (Canada).",HTML,Canada,"(222, 228)",1,adaptation,"(57, 67)",1
11669,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,An analysis of climate change adaptation governance in Norway.,HTML,Norway,"(55, 61)",1,adaptation,"(30, 40)",1
11951,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Changes in the cryosphere include the decline of Arctic sea ice extent, Antarctic and Greenland ice sheet mass loss, glacier mass loss, permafrost thaw …   Box 1.1, Figure 1 | Climate change-related effects in the ocean include sea level rise, increasing ocean heat n content and marine heat waves, ocean deoxygenation, and ocean acidification (Section 1.4.1).",HTML,Greenland,"(86, 95)",1,sea level rise,"(230, 244)",1
11977,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"The vast ice sheets in Antarctica and Greenland currently hold about 66 m of potential global sea level rise (Fretwell et al., 201350), although the loss of a large fraction of this potential would require millennia of ice sheet retreat.",HTML,Greenland,"(38, 47)",1,sea level rise,"(94, 108)",1
12155,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"CCB.2 Key Concepts of Risk, Adaptation, Resilience and Transformation     Authors: Matthias Garschagen (Germany), Carolina Adler (Switzerland/Australia), Susie Crate (USA), Hélène Jacot Des Combes (Fiji/France), Bruce Glavovic (New Zealand/South Africa), Sherilee Harper (Canada), Elisabeth Holland (Fiji/USA), Gary Kofinas (USA), Sean O’Donoghue (South Africa), Ben Orlove (USA), Zita Sebesvari (Hungary/Germany), Martin Sommerkorn (Norway/Germany) This box introduces key concepts used in the Special Report on the Ocean and Cryosphere in a Changing Climate (SROCC) in relation to risk, adaptation, resilience, and transformation.",HTML,"Norway, New Zealand, Switzerland, Hungary, Canada, France, Fiji, South Africa, Australia, Germany","(434, 440), (228, 239), (130, 141), (397, 404), (272, 278), (203, 209), (198, 202), (240, 252), (142, 151), (104, 111)",10,adaptation,"(589, 599)",1
12248,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"For example, decreasing Arctic sea ice increases exposure for organisms that depend upon habitats provided by sea ice, but also has far-reaching impacts through the resulting direct albedo feedback and amplification of Arctic climate warming (e.g., Pistone et al., 2014) that then locally increases surface melting of the Greenland ice sheet (Liu et al., 2016236; Stroeve et al., 2017237).",HTML,Greenland,"(322, 331)",1,"feedback, albedo","(189, 197), (182, 188)",2
12462,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Since AR5 there have been advances in modelling the dynamical processes of the Greenland and Antarctica ice sheets, leading to better representation of the range of potential future sea level rise scenarios (Sections 4.2.3).",HTML,Greenland,"(79, 88)",1,sea level rise,"(182, 196)",1
13844,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"PloS ONE, 11(3), e0150575, doi:10.1371/journal.pone.0150575  ↩   Neef, A. et al., 2018: Climate adaptation strategies in Fiji: The role of social norms and cultural values.",HTML,Fiji,"(121, 125)",1,adaptation,"(96, 106)",1
14473,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   West, J. J. and G. K. Hovelsrud, 2010: Cross-scale adaptation challenges in the coastal fisheries: findings from Lebesby, Northern Norway.",HTML,Norway,"(135, 141)",1,adaptation,"(55, 65)",1
14543,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Nadeem, S., I. Elahi, A. Hadi and I. Uddin, 2012: Traditional knowledge and local institutions support adaptation to water-induced hazards in Chitral, Pakistan.",HTML,Pakistan,"(155, 163)",1,adaptation,"(107, 117)",1
14726,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"At present, the Greenland Ice Sheet (GIS) and polar glaciers are contributing more to sea level rise than the Antarctic Ice Sheet (AIS).",HTML,Greenland,"(16, 25)",1,sea level rise,"(86, 100)",1
14779,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"{3.5.2, 3.5.4, Cross-Chapter Box 9} It is extremely likely that the rapid ice loss from the Greenland and Antarctic ice sheets during the early 21st century has increased into the near present day, adding to the ice sheet contribution to global sea level rise.",HTML,Greenland,"(92, 101)",1,sea level rise,"(245, 259)",1
15240,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"Under the same scenario, aragonite undersaturation is projected to occur in the bottom waters over the entire Kara Sea shelf by 2040 and over most of the Barents and East Greenland shelves by 2070 due to the accumulation of anthropogenic CO2 (Wallhead et al., 2017507).",HTML,Greenland,"(171, 180)",1,anthropogenic,"(224, 237)",1
15595,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"Around Greenland, an anomalous inflow of subtropical water driven by wind changes, multi-decadal natural ocean variability (Andresen et al., 20121102), and a long-term increase in the North Atlantic’s upper ocean heat content since the 1950s (Cheng et al., 20171103), all contributed to a warming of the subpolar North Atlantic (Häkkinen et al., 20131104) (medium confidence).",HTML,Greenland,"(7, 16)",1,ocean heat content,"(207, 225)",1
15605,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"In Greenland, associations between atmospheric pressure indices such as the North Atlantic Oscillation (NAO) and temperature, insolation and snowfall indicate with high confidence that, as in Antarctica, variability of large-scale atmospheric circulation is an important driver of SMB changes (Fettweis et al., 20131139; Tedesco et al., 20131140; Ding et al., 20141141; Tedesco et al., 2016b1142; Ding et al., 20171143; Hofer et al., 20171144).",HTML,Greenland,"(3, 12)",1,insolation,"(126, 136)",1
15703,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"However, most terrestrial frozen water is stored in Antarctic and Greenland ice sheets, and future changes in their dynamics and mass balance will cause sea level rise over the 21st century and beyond (Section 4.2.3).",HTML,Greenland,"(66, 75)",1,sea level rise,"(153, 167)",1
15751,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"However, since AR5 it has been argued that several Greenland outlet glaciers (Petermann, Kangerdlugssuaq, Jakobshavn Isbræ, Helheim, Zachariæ Isstrøm) and North-East Greenland Ice Stream may contribute more than expected to future sea level rise (Mouginot et al., 20151347).",HTML,Greenland,"(51, 60)",1,sea level rise,"(231, 245)",1
16333,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"Furthermore, the geographic distribution of publicly available documentation on adaptation initiatives is skewed in the Arctic, with more than three-quarters coming from Canada and USA (Ford et al., 2014a2101; Loboda, 20142102).",HTML,Canada,"(170, 176)",1,adaptation,"(80, 90)",1
16377,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"The role of cross-scale boundary organisations in climate change adaptation planning, and how central government initiatives can ultimately translate into ‘hybrid’ forms of adaptation at the local level that allow for actions that are sensitive to local communities has proven important in Norway (Dannevig and Aall, 2015).",HTML,Norway,"(290, 296)",1,adaptation,"(65, 75)",1
16378,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"At the national level, Norway, Sweden and Finland have engaged in the European Climate Adaptation Platform (Climate-ADAPT), a partnership that aims to support Europe in adapting to climate change by helping users to access and share data and information on expected climate change in Europe, current and future vulnerability of regions and sectors, national and transnational adaptation strategies and actions, adaptation case studies and potential adaptation options, and tools that support adaptation planning.",HTML,"Norway, Finland, Sweden","(23, 29), (42, 49), (31, 37)",3,adaptation,"(376, 386)",1
16631,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"Stratospheric Ozone and Climate, Chapter 5, World Meteorological Organization, G. S., Geneva, Switzerland Available at: https://www.esrl.noaa.gov/csd/assessments/ozone/2018/report/Chapter5_2018OzoneAssessment.pdf%5D.",HTML,Switzerland,"(94, 105)",1,ozone,"(163, 168)",1
17986,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Galicia, M. P. et al., 2016: Dietary habits of polar bears in Foxe Basin, Canada: possible evidence of a trophic regime shift mediated by a new top predator.",HTML,Canada,"(78, 84)",1,regime shift,"(117, 129)",1
18776,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Mernild, S. H. et al., 2015: Greenland precipitation trends in a long-term instrumental climate context (1890-2012): Evaluation of coastal and ice core records.",HTML,Greenland,"(33, 42)",1,ice core,"(147, 155)",1
18784,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Vinther, B. M. et al., 2009: Holocene thinning of the Greenland ice sheet.",HTML,Greenland,"(58, 67)",1,Holocene,"(33, 41)",1
18788,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Lecavalier, B. S. et al., 2017: High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution.",HTML,Greenland,"(105, 114)",1,Holocene,"(48, 56)",1
18798,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Hanna, E. et al., 2014: Atmospheric and oceanic climate forcing of the exceptional Greenland ice sheet surface melt in summer 2012. International Journal of Climatology, 34 (4), 1022-1037, doi:10.1002/joc.3743.",HTML,Greenland,"(87, 96)",1,climate forcing,"(52, 67)",1
18928,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Andresen, C. S. et al., 2012: Rapid response of Helheim Glacier in Greenland to climate variability over the past century.",HTML,Greenland,"(71, 80)",1,climate variability,"(84, 103)",1
19008,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Tedesco, M. et al., 2013: Evidence and analysis of 2012 Greenland records from spaceborne observations, a regional climate model and reanalysis data.",HTML,Greenland,"(60, 69)",1,climate model,"(119, 132)",1
19022,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Tedesco, M. et al., 2013: Evidence and analysis of 2012 Greenland records from spaceborne observations, a regional climate model and reanalysis data.",HTML,Greenland,"(60, 69)",1,climate model,"(119, 132)",1
19026,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Tedesco, M. et al., 2013: Evidence and analysis of 2012 Greenland records from spaceborne observations, a regional climate model and reanalysis data.",HTML,Greenland,"(60, 69)",1,climate model,"(119, 132)",1
19028,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Box, J. E. et al., 2012: Greenland ice sheet albedo feedback: thermodynamics and atmospheric drivers.",HTML,Greenland,"(29, 38)",1,"feedback, albedo","(56, 64), (49, 55)",2
19042,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Tedesco, M. et al., 2013: Evidence and analysis of 2012 Greenland records from spaceborne observations, a regional climate model and reanalysis data.",HTML,Greenland,"(60, 69)",1,climate model,"(119, 132)",1
19044,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Hanna, E. et al., 2014: Atmospheric and oceanic climate forcing of the exceptional Greenland ice sheet surface melt in summer 2012. International Journal of Climatology, 34 (4), 1022-1037, doi:10.1002/joc.3743.",HTML,Greenland,"(87, 96)",1,climate forcing,"(52, 67)",1
19113,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Zekollari, H., B. S. Lecavalier and P. Huybrechts, 2017: Holocene evolution of Hans Tausen Iskappe (Greenland) and implications for the palaeoclimatic evolution of the high Arctic.",HTML,Greenland,"(104, 113)",1,Holocene,"(61, 69)",1
19115,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Lecavalier, B. S. et al., 2017: High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution.",HTML,Greenland,"(105, 114)",1,Holocene,"(48, 56)",1
19140,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Box, J. E. et al., 2012: Greenland ice sheet albedo feedback: thermodynamics and atmospheric drivers.",HTML,Greenland,"(29, 38)",1,"feedback, albedo","(56, 64), (49, 55)",2
19980,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Kohnert, K. et al., 2017: Strong geologic methane emissions from discontinuous terrestrial permafrost in the Mackenzie Delta, Canada.",HTML,Canada,"(130, 136)",1,methane,"(46, 53)",1
20455,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Rosol, R., S. Powell-Hellyer and L. H. M. Chan, 2016: Impacts of decline harvest of country food on nutrient intake among Inuit in Arctic Canada: Impact of climate change and possible adaptation plan.",HTML,Canada,"(142, 148)",1,adaptation,"(188, 198)",1
21096,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"↩   Baird, J., R. Plummer and Ö. Bodin, 2016: Collaborative governance for climate change adaptation in Canada: experimenting with adaptive co-management.",HTML,Canada,"(104, 110)",1,adaptation,"(90, 100)",1
21113,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,An analysis of climate change adaptation governance in Norway.,HTML,Norway,"(55, 61)",1,adaptation,"(30, 40)",1
21360,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"Chapter 8 of Adaptation Actions for a Changing Arctic: Perspectives from the Barents Area, Arctic Monitoring and Assessment Programme (AMAP), Oslo, Norway, 195-218 Available at: https://www.amap.no/documents/doc/adaptation-actions-for-a-changing-arctic-perspectives-from-the-barents-area/1604%5D.",HTML,Norway,"(148, 154)",1,adaptation,"(213, 223)",1
21368,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"Chapter 8 of Adaptation Actions for a Changing Arctic: Perspectives from the Barents Area, Arctic Monitoring and Assessment Programme (AMAP), Oslo, Norway, 195-218 Available at: https://www.amap.no/documents/doc/adaptation-actions-for-a-changing-arctic-perspectives-from-the-barents-area/1604%5D.",HTML,Norway,"(148, 154)",1,adaptation,"(213, 223)",1
21380,/content/ipcc/srocc_chap_03/sections/fulltext.flow.html,"Chapter 8 of Adaptation Actions for a Changing Arctic: Perspectives from the Barents Area, Arctic Monitoring and Assessment Programme (AMAP), Oslo, Norway, 195-218 Available at: https://www.amap.no/documents/doc/adaptation-actions-for-a-changing-arctic-perspectives-from-the-barents-area/1604%5D.",HTML,Norway,"(148, 154)",1,adaptation,"(213, 223)",1
21679,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"High confidence for impacts   Arctic sea ice retreat (Section 3.3) Yes Reversible within decades to centuries Coastal erosion in Arctic (may take longer to reverse), impact on mid-latitude storms (low confidence); rise in Arctic surface temperatures (high confidence) High confidence   Ocean deoxygenation and hypoxic events (Section 5.2) Yes Reversible at surface, but irreversible for centuries to millennia at depth Major changes in ocean productivity, biodiversity and biogeochemical cycles Medium confidence    Ocean acidification (Section 5.2) Yes Reversible at surface, but irreversible for centuries to millennia at depth Changes in growth, development, calcification, survival and abundance of species, for example, from algae to fish Virtually certain (very high confidence)   Cryosphere   Methane release from permafrost (Section 3.4) Yes Reversible due to short lifetime of methane in the atmosphere Further increased global temperatures through climate feedback Medium confidence   CO2 release from permafrost (Section 3.4) Yes Irreversible for millennia due to long lifetime of CO2 in the atmosphere Further increased global temperatures through climate feedback Low confidence   Partial West Antarctic Ice Sheet (WAIS) collapse (Cross Chapter Box 2 in Chapter 1, Section 4.2) Yes (late 21st century, under RCP8.5 only) Irreversible for decades to millennia Significant contribution to sea level rise (SLR) and local decrease in ocean salinity Low confidence   Greenland Ice sheet (GIS) decay (Cross Chapter Box 8, Section 4.2) No Irreversible for millennia Significant contribution to SLR, shipping (icebergs) High confidence for decay contributing 10s of cm of SLR   Ice-shelf collapses (Cross Chapter Box 8, Sections 3.3, 4.2} Yes Possibly irreversible for centuries May lead to SLR from contributing glaciers.",HTML,Greenland,"(1475, 1484)",1,"feedback, sea level rise, methane","(966, 974), (1400, 1414), (886, 893)",3
21695,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Year/type of hazard Region Severe hazard Attribution to anthropogenic climate change Impact, costs   1998  Western equatorial Pacific, Great Barrier Reef, Australia Extreme sea surface temperatures (SSTs) Unknown if global warming has increased the probability.",HTML,Australia,"(155, 164)",1,"anthropogenic, anthropogenic climate change, global warming ","(56, 69), (56, 84), (216, 231)",3
21698,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Atlantic Multidecadal Variability (AMV) and the after-effects of the 2004–2005 El Niño also played a role (Trenberth and Shea, 200618) Costliest US natural disaster; 1,836 deaths and 30 billion USD in direct economic costs in Louisiana due to Hurricane Katrina (Link, 201021)   2007 Arabian Sea Strongest tropical cyclone (TC) (Gonu) attaining sustained winds of 270 kph and gustiness of 315 kph No attribution study done, although it was noted that this Category 5 TC had followed an unusual path (Dibajnia et al., 201019) Caused around 4 billion USD in damages (Fritz et al., 201022; Coles et al., 201523)   2008 Western Pacific Islands North Pacific generated wave-swell event Event shown to have been made more extreme compared to other historical events due to La Niña and SLR (Hoeke et al., 201324) Wave-induced inundation in islands of six Pacific nations (Kiribati, Marshall Islands, Micronesia, Nauru, Papua New Guinea, Solomon Islands), salt water flooding of food and water supplies in Kosrae, Micronesia, 1,408 houses damaged and 63,000 people affected across eight provinces in Papua New Guinea (Hoeke et al., 201325)   2010 Western equatorial Pacific, Great Barrier Reef, Australia Extreme SST Unknown if global warming increased the probability Coral bleaching   2010 Southern Amazon Widespread drought in the Amazon led to lowest river levels of major Amazon tributaries on record (Marengo et al., 201126) Model-based attribution indicates human influences and SST natural variability increased probabilities of the 2010 severe drought in the South Amazon region whereas aerosol emissions had little effect (Shiogama et al., 201327) Relative to the long-term mean, the 2010 drought resulted in a reduction in biomass carbon uptake of 1.1 Pg C, compared to 1.6 Pg C for the 2005 event which was driven by an increase in biomass mortality (Feldpausch et al., 201628)   2010–2011 Eastern Australia Wettest spring since 1900 (Leonard et al., 201429) Based on La Niña SSTs during satellite era, La Niña alone is insufficient to explain total rainfall.",HTML,"Nauru, Solomon Islands, Guinea, Papua New Guinea, Australia, Kiribati, Marshall Islands","(904, 909), (929, 944), (921, 927), (911, 927), (1186, 1195), (864, 872), (874, 890)",7,global warming ,"(1219, 1234)",1
21704,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Biodiversity patterns of temperate seaweeds, sessile invertebrates and demersal fish were altered leading to reduced abundance of habitat-forming seaweeds (Wernberg et al., 201344)   2011 Golden Bay, New Zealand In December, Extreme two day total rainfall was experienced (one in 500-year event) Model based attribution indicated total moisture available for precipitation in Golden Bay, New Zealand was 1–5% higher due to anthropogenic emissions (Dean et al., 201345) In town of Takaka, 453 mm was recorded in 24 hours and 674 mm in 48 hours (Dean et al.",HTML,New Zealand,"(200, 211)",1,anthropogenic,"(423, 436)",1
21716,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"2014 Arabian Sea Cyclone Nilofar was the first severe TC to be recorded in the Arabian Sea in post-monsoon cyclone season (Murakami et al., 201781) Anthropogenic global warming has been shown to have increased the probability of post-monsoon TCs over the Arabian Sea (Murakami et al., 201782) Cyclone did not make landfall but produced heavy rainfall on western Indian coasts (Bhutto et al., 201783)   2014 Northland New Zealand Extreme five day rainfall in Northland Extreme five day rainfall over Northland, New Zealand was influenced by human-induced climate change (Rosier et al., 201584) 18.8 million NZD in insurance claims (Rosier et al., 201585)   2014–2017 Western equatorial Pacific, Great Barrier Reef, Australia Extreme SSTs Global warming increased probability of occurrence for regional parts of the MHW (Weller et al., 201865; Oliver et al., 2018b87) Anthropogenic greenhouse gas (GHG) emission increased the risk of coral bleaching through anomalously high SSTs and accumulation of heat stress (Lewis and Mallela, 201888)   2015 North America Anomalously low temperatures with intense snowstorms Reduced Arctic sea ice and anomalous SSTs may have contributed to establishing and sustaining the anomalous meander of the jet stream, and could enhance the probability of such extreme cold spells over North America (Bellprat et al., 201689) Several intense snowstorms resulting in power outages and large economic losses (Munich RE, 201690)   2015 Arctic Record low Northern Hemisphere (NH) sea ice extent in March 2015 Record low in NH sea ice maximum could not have been reached without human-induced change in climate, with the surface atmospheric conditions, on average, contributing 54% to the change (Fuckar et al., 201691) March NH sea ice content reached the lowest winter maximum in 2015.",HTML,"New Zealand, Australia","(417, 428), (714, 723)",2,"greenhouse gas, global warming ","(880, 894), (162, 177)",2
21719,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Rainfall from Chapala was seven times the annual average Anthropogenic global warming has been shown to have increased the probability of post-monsoon TCs over the Arabian Sea (Murakami et al., 2017100) Death toll in Yemen from Chapala and Megh was 8 and 20 respectively.",HTML,Yemen,"(217, 222)",1,global warming ,"(71, 86)",1
21728,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"(Emanuel, 2017129; Risser and Wehner, 2017130; van Oldenborgh et al., 2017131; see Box 6.1) Extensive impacts (see Box 6.1)   2017 Europe Storm Ophelia In agreement with projections of increase of cyclones of tropical origin hitting European coasts (Haarsma et al., 2013132) Largest ever recorded hurricane in East Atlantic; extreme winds and coastal erosion in Ireland   2017 Persian Gulf Severe warming in the Gulf with reef bottom temperatures resulting in 5.5°C-weeks of thermal stress as degree heating weeks (Burt et al., 2019134) Mortality of corals shown to have been caused by increases in sea-bottom temperatures (Burt et al., 2019133) 94.3% of corals bleached in the Gulf   2017 East Africa Drought (across Tanzania, Ethiopia, Kenya and Somalia) Extremely warm ‘Western V’ (stretching poleward and eastward from a point near the Maritime Continent) SST doubled the probability of drought (Funk et al., 2018135) Contributed to extreme food insecurity (Funk et al., 2018136) approaching near-famine conditions (FEWS NET and FSNAU, 2017137; WFP et al., 2017138)   2017 Peru Extremely wet rainy season Human influence is estimated to make such events at least 1.5 times more likely (Christidis et al., 2018a139) Widespread flooding and landslides 1.7 million people, a death toll of 177 and an estimated damages of 3.1 billion USD (Christidis et al., 2018a140)   2017 Bangladesh Pre-monsoon extreme six day rainfall event The likelihood of this 2017 pre-monsoon extreme rainfall is nearly doubled by anthropogenic climate change; although this contribution is sensitive to the climatological period used (Rimi et al., 2018141) Triggered flash floods affecting 850,000 households and 220,000 hectares of harvestable crops leading to a 30% rice price hike (FAO, 2017)   2017 Uruguay, South America April-May heavy precipitation The risk of the extreme rainfall in the Uruguay River increased two-fold by anthropogenic climate change Triggered wide-spread overbank flooding along the Uruguay River causing economic loss of 102 million USD (FAMURS, 2017142) and displacement of 3,500 people (de Abreu et al., 2019)   2017 Northeast China Persistent summer-spring hot and dry extremes Risk of persistent spring-summer hot and dry extremes is increased by 5–55% and 37–113%, respectively, by anthropogenic climate change (Wang et al., 2018143) Affected more than 7.4 million km² of crops and herbage and direct economic loss of about 10 billion USD (Zhang et al., 2017c144)   2017 Coastal Peru Strong shallow ocean warming of up to 10°C off the northern coast of Peru Unknown if global warming increased the probability Caused heavy rainfall and flooding (ENFEN, 2017145; Garreaud, 2018146).",HTML,"Somalia, Bangladesh, Peru, Tanzania, Uruguay, Kenya, Ethiopia, Ireland","(748, 755), (1375, 1385), (1077, 1081), (718, 726), (1780, 1787), (738, 743), (728, 736), (362, 369)",8,"anthropogenic, anthropogenic climate change, global warming ","(1507, 1520), (1507, 1535), (2580, 2595)",3
21774,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Additional studies of observed long-term TC changes such as: an increase in annual global proportion of Category 4 or 5 TCs in recent decades, severe TCs occurring in the Arabian Sea and making landfall in East and Southeast Asia, the increasing frequency of moderately large US storm surge events since 1923 and the decreasing frequency of severe TCs that make landfall in eastern Australia since the late 1800s, may each represent emerging anthropogenic signals, but still with low confidence (limited evidence).",HTML,Australia,"(382, 391)",1,anthropogenic,"(442, 455)",1
21949,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"The Tasman Sea 2015–2016 MHW was 330 times (for duration) and 6.8 times (for intensity) more likely with anthropogenic climate change than without (Oliver et al., 2017356), and the northern Australia 2016 MHW was up to fifty times more likely due to anthropogenic climate change (Weller et al., 2015357; King et al., 2017358; Lewis and Mallela, 2018359; Newman et al., 2018360; Oliver et al., 2018b361).",HTML,Australia,"(190, 199)",1,"anthropogenic, anthropogenic climate change","(105, 118), (105, 133)",2
22025,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"The Western Australia 2011 MHW resulted in a regime shift of the temperate reef ecosystem (Wernberg et al., 2013419; Wernberg et al., 2016420).",HTML,Australia,"(12, 21)",1,regime shift,"(45, 57)",1
22259,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Considerable effort has been dedicated in the last decades to improve the observation system of the large-scale ocean circulation (e.g., Argo and its array of about 3,800 free-drifting profiling floats), including the AMOC through dedicated large-scale observing arrays (at 16°N (Send et al., 2011) and 26°N (McCarthy et al., 2015b670), in the subpolar gyre (SPG) (Lozier et al., 2017671), between Portugal and the tip of Greenland (Mercier et al., 2015672), at 34.5°S (Meinen et al., 2013673), among others).",HTML,"Greenland, Portugal","(422, 431), (398, 406)",2,Argo,"(137, 141)",1
22404,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"In addition, a recent study using a marine productivity proxy from Greenland ice cores suggest that net primary productivity has decreased by 10 ± 7% in the subarctic Atlantic over the past two centuries possibly related to changes in AMOC (Osman et al., 2019).",HTML,Greenland,"(67, 76)",1,proxy,"(56, 61)",1
22499,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Case Study 1: Tasmania’s Summer of 2015–2016 Tasmania in southeast Australia experienced multiple extreme climate events in 2015–2016, driven by the combined effects of natural modes of climate variability and anthropogenic climate change, with impacts on the energy sector, fisheries and emergency services.",HTML,Australia,"(67, 76)",1,"anthropogenic, climate variability, anthropogenic climate change","(210, 223), (186, 205), (210, 238)",3
22645,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Though they have coupled disaster risk reduction with climate change adaptation, problems manifest in relationships, responsibilities, capacity and expectations between government agencies and other actors (e.g., international donors and non-governmental organisations), as analysed by Vanuatu’s response to the Category 5 TC Pam (Nalau et al., 2017).",HTML,Vanuatu,"(286, 293)",1,adaptation,"(69, 79)",1
