,file_path,sentence,section,0,0_span,weight_0
1879,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Arctic Monitoring and Assessment Programme (AMAP), Oslo, Norway, 165 pp.",HTML,Norway,"(57, 63)",1
1884,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1039-1099.",HTML,United Kingdom,"(39, 53)",1
1889,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Arctic Monitoring and Assessment Programme (AMAP), Oslo, Norway, 165 pp.",HTML,Norway,"(57, 63)",1
1911,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem services, Bonn, Germany, 492 pp.",HTML,Germany,"(107, 114)",1
1916,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem services, Bonn, Germany, 612 pp.",HTML,Germany,"(107, 114)",1
1920,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem services, Bonn, Germany, 892 pp.",HTML,Germany,"(107, 114)",1
1924,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, Bonn, Germany, 656 pp.",HTML,Germany,"(107, 114)",1
1937,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 793-832.",HTML,United Kingdom,"(39, 53)",1
1942,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 793-832.",HTML,United Kingdom,"(39, 53)",1
1947,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 709-754.",HTML,United Kingdom,"(39, 53)",1
1952,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1039-1099.",HTML,United Kingdom,"(39, 53)",1
1954,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Arctic Monitoring and Assessment Programme (AMAP), Oslo, Norway, 165 pp.",HTML,Norway,"(57, 63)",1
1959,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1327-1370.",HTML,United Kingdom,"(39, 53)",1
1962,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom, 65-108.",HTML,United Kingdom,"(39, 53)",1
1967,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 709-754.",HTML,United Kingdom,"(39, 53)",1
1976,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1327-1370.",HTML,United Kingdom,"(39, 53)",1
1981,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 35-94.",HTML,United Kingdom,"(39, 53)",1
1991,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"World Meteorological Organization, Geneva, Switzerland, 32pp.",HTML,Switzerland,"(43, 54)",1
1996,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"World Meteorological Organization, Geneva, Switzerland, 32pp.",HTML,Switzerland,"(43, 54)",1
2005,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"World Meteorological Organization, Geneva, Switzerland, 32pp.",HTML,Switzerland,"(43, 54)",1
2019,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 979-1037.",HTML,United Kingdom,"(39, 53)",1
2024,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"World Meteorological Organization, Geneva, Switzerland.",HTML,Switzerland,"(43, 54)",1
2070,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Springer International Publishing, Switzerland, pp.1-20.",HTML,Switzerland,"(35, 46)",1
2086,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 361-409.",HTML,United Kingdom,"(39, 53)",1
2108,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"PloS ONE, 11(3), e0150575, doi:10.1371/journal.pone.0150575  ↩   Neef, A. et al., 2018: Climate adaptation strategies in Fiji: The role of social norms and cultural values.",HTML,Fiji,"(121, 125)",1
2164,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"B. Shrestha, S. Nepal and W. W. Immerzeel, 2016: Downstream implications of climate change in the Himalayas.",HTML,Nepal,"(16, 21)",1
2166,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Springer, Singapore, pp.",HTML,Singapore,"(10, 19)",1
2188,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Philip, T., 2018: Climate change displacement and migration: an analysis of the current international legal regime’s deficiency, proposed solutions and a way forward for Australia.",HTML,Australia,"(174, 183)",1
2227,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Jordan, A. J. et al., 2015: Emergence of polycentric climate governance and its future prospects.",HTML,Jordan,"(4, 10)",1
2261,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"World Meteorological Organization, Geneva, Switzerland, 32pp.",HTML,Switzerland,"(43, 54)",1
2272,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"CAFF (Akureyri, Iceland: Conservation of Arctic Flora and Fauna, 2015), ISBN: 9789935431462.",HTML,Iceland,"(16, 23)",1
2276,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Springer International Publishing, Cham, Switzerland.",HTML,Switzerland,"(41, 52)",1
2284,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom, 276 pp.",HTML,United Kingdom,"(39, 53)",1
2297,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Springer International Publishing, Cham, Switzerland.",HTML,Switzerland,"(41, 52)",1
2301,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Cassotta, S. and M. Mazza, 2015: Balancing de jure and de facto Arctic environmental law applied to the oil and gas industry: linking indigenous rights, social impact assessment and business in Greenland.",HTML,Greenland,"(198, 207)",1
2323,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Parveen, S., M. Winiger, S. Schmidt and M. Nüsser, 2015: Irrigation in Upper Hunza: evolution of socio-hydrological interactions in the Karakoram, northern Pakistan.",HTML,Pakistan,"(160, 168)",1
2328,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Fan, 2015: The diagnosis of an electricity crisis and alternative energy development in Pakistan.",HTML,Pakistan,"(88, 96)",1
2337,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Jamir, O., 2016: Understanding India-Pakistan water politics since the signing of the Indus Water Treaty.",HTML,"Pakistan, India","(41, 49), (35, 40)",2
2351,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, pp.",HTML,United Kingdom,"(39, 53)",1
2356,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 317-382.",HTML,United Kingdom,"(39, 53)",1
2448,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 383-464.",HTML,United Kingdom,"(39, 53)",1
2462,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 741-866.",HTML,United Kingdom,"(39, 53)",1
2498,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"World Glacier Monitoring Service, Zurich, Switzerland Available at: http://dx.doi.org/10.5904/wgms-fog-2017-10%5D.",HTML,Switzerland,"(42, 53)",1
2540,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem services, Bonn, Germany, 492 pp.",HTML,Germany,"(107, 114)",1
2545,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem services, Bonn, Germany, 612 pp.",HTML,Germany,"(107, 114)",1
2549,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem services, Bonn, Germany, 892 pp.",HTML,Germany,"(107, 114)",1
2553,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, Bonn, Germany, 656 pp.",HTML,Germany,"(107, 114)",1
2581,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Wohling, M., 2009: The problem of scale in indigenous knowledge: a perspective from northern Australia.",HTML,Australia,"(97, 106)",1
2603,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Evenki Reindeer Herders and Hunters, Studies in Social and Cultural Anthropology, SEC Publications, Kulturstiftung Sibirien, Fürstenberg/Havel, Germany, 467 pp.",HTML,Germany,"(144, 151)",1
2662,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"A. and R. Orttung, 2018: Climate change in Northern Russia through the prism of public perception.",HTML,Russia,"(52, 58)",1
2725,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Armitage, D. et al., 2011: Co-management and the co-production of knowledge: Learning to adapt in Canada’s Arctic.",HTML,Canada,"(102, 108)",1
2737,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   West, J. J. and G. K. Hovelsrud, 2010: Cross-scale adaptation challenges in the coastal fisheries: findings from Lebesby, Northern Norway.",HTML,Norway,"(135, 141)",1
2755,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Karlsson, M. and G. K. Hovelsrud, 2015: Local collective action: Adaptation to coastal erosion in the Monkey River Village, Belize.",HTML,Belize,"(128, 134)",1
2805,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Mourey, J. and L. Ravanel, 2017: Evolution of Access Routes to High Mountain Refuges of the Mer de Glace Basin (Mont Blanc Massif, France): An Example of Adapting to Climate Change Effects in the Alpine High Mountains.",HTML,France,"(135, 141)",1
2807,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Nadeem, S., I. Elahi, A. Hadi and I. Uddin, 2012: Traditional knowledge and local institutions support adaptation to water-induced hazards in Chitral, Pakistan.",HTML,Pakistan,"(155, 163)",1
2809,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Acharya, A. and A. Prakash, 2018: When the river talks to its people: local knowledge-based flood forecasting in Gandak River basin, India.",HTML,India,"(137, 142)",1
2811,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"↩   Sherpa, P., 2014: Climate change, perceptions, and social heterogeneity in Pharak, Mount Everest region of Nepal.",HTML,Nepal,"(111, 116)",1
2843,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Breakthrough-National Centre for Climate Restoration, Melbourne, Australia, 40 pp.",HTML,Australia,"(65, 74)",1
2864,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Springer International Publishing, Cham, Switzerland, pp.",HTML,Switzerland,"(41, 52)",1
2896,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA.",HTML,United Kingdom,"(39, 53)",1
2934,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1137-1216.",HTML,United Kingdom,"(39, 53)",1
